x,y,z
589.6918,18.86454,685.5716
589.6724,18.86306,685.5609
589.653,18.86163,685.5503
589.6336,18.86025,685.5397
589.6143,18.8589,685.5292
589.5946,18.85758,685.5186
589.575,18.85631,685.508
589.5554,18.85508,685.4976
589.536,18.85391,685.4872
589.5165,18.85279,685.4768
589.4968,18.8517,685.4664
589.4771,18.85066,685.4561
589.4575,18.84968,685.4457
589.4379,18.84875,685.4355
589.4183,18.84789,685.4254
589.3986,18.84706,685.4152
589.3788,18.84629,685.405
589.3589,18.84558,685.3948
589.3392,18.84494,685.3848
589.3195,18.84436,685.3748
589.2998,18.84384,685.3649
589.2798,18.84339,685.3549
589.2599,18.84301,685.3449
589.2402,18.84272,685.335
589.2204,18.84249,685.3253
589.2004,18.84233,685.3154
589.1805,18.84225,685.3055
589.1607,18.84225,685.2958
589.1405,18.84231,685.2861
589.1205,18.84246,685.2764
589.1006,18.84267,685.2668
589.0807,18.84296,685.2573
589.0605,18.84333,685.2477
589.0405,18.84377,685.2383
589.0205,18.84427,685.2288
589.0003,18.84485,685.2195
588.9802,18.84551,685.2102
588.9601,18.84623,685.201
588.94,18.84702,685.1919
588.9196,18.84789,685.1827
588.8994,18.84882,685.1736
588.8792,18.84981,685.1647
588.8589,18.85087,685.1556
588.8385,18.852,685.1469
588.8182,18.85318,685.1382
588.7979,18.85443,685.1294
588.7774,18.85574,685.1207
588.7571,18.8571,685.1122
588.7366,18.85851,685.1038
588.716,18.85999,685.0954
588.6954,18.8615,685.0871
588.675,18.86306,685.0788
588.6544,18.86468,685.0707
588.6337,18.86634,685.0627
588.6132,18.86803,685.0547
588.5924,18.86976,685.0468
588.5718,18.87152,685.0391
588.551,18.87332,685.0314
588.5302,18.87514,685.0239
588.5094,18.87699,685.0164
588.4886,18.87886,685.009
588.4677,18.88075,685.0017
588.4468,18.88266,684.9945
588.4258,18.88458,684.9874
588.4049,18.8865,684.9804
588.3839,18.88844,684.9735
588.3628,18.89037,684.9667
588.3418,18.8923,684.9601
588.3207,18.89423,684.9535
588.2996,18.89614,684.947
588.2784,18.89806,684.9405
588.2573,18.89995,684.9342
588.236,18.90183,684.928
588.2147,18.9037,684.9219
588.1936,18.90553,684.9159
588.1722,18.90734,684.9099
588.1508,18.90913,684.9041
588.1295,18.91088,684.8983
588.1082,18.9126,684.8927
588.0867,18.91429,684.8871
588.0652,18.91594,684.8817
588.0438,18.91754,684.8763
588.0223,18.9191,684.871
588.0007,18.92063,684.8658
587.9793,18.92209,684.8607
587.9578,18.92352,684.8556
587.936,18.9249,684.8506
587.9146,18.92622,684.8458
587.893,18.92748,684.8409
587.8712,18.92871,684.8362
587.8496,18.92987,684.8315
587.828,18.93097,684.827
587.8063,18.93202,684.8225
587.7843,18.93302,684.818
587.7628,18.93394,684.8136
587.7411,18.93481,684.8093
587.7192,18.93562,684.8051
587.6975,18.93637,684.8008
587.6758,18.93706,684.7968
587.654,18.93768,684.7927
587.632,18.93825,684.7886
587.6103,18.93875,684.7847
587.5886,18.93918,684.7808
587.5667,18.93956,684.7769
587.5446,18.93987,684.773
587.5229,18.94012,684.7693
587.5011,18.9403,684.7656
587.4792,18.94043,684.762
587.457,18.94049,684.7583
587.4354,18.94049,684.7548
587.4136,18.94042,684.7512
587.3915,18.94029,684.7477
587.3694,18.9401,684.7443
587.3477,18.93986,684.7408
587.3259,18.93955,684.7374
587.3039,18.93918,684.7341
587.2817,18.93874,684.7308
587.2599,18.93825,684.7275
587.2382,18.93771,684.7243
587.2162,18.9371,684.7211
587.194,18.93642,684.7178
587.1721,18.9357,684.7148
587.1506,18.93495,684.7117
587.129,18.93414,684.7088
587.1072,18.93328,684.706
587.0853,18.93238,684.7032
587.0631,18.93143,684.7004
587.041,18.93043,684.6978
587.0185,18.92938,684.6951
586.9959,18.92828,684.6926
586.9744,18.9272,684.6904
586.9527,18.92607,684.6879
586.9309,18.92491,684.6857
586.909,18.9237,684.6837
586.887,18.92245,684.6815
586.8647,18.92116,684.6794
586.8424,18.91983,684.6774
586.8199,18.91846,684.6755
586.7975,18.91706,684.6736
586.7759,18.91568,684.6719
586.7541,18.91426,684.6701
586.7322,18.91281,684.6684
586.7103,18.91132,684.6668
586.6882,18.90981,684.6653
586.666,18.90825,684.6638
586.6437,18.90666,684.6623
586.6212,18.90504,684.6609
586.5986,18.90338,684.6595
586.5769,18.90175,684.6582
586.5551,18.9001,684.657
586.5333,18.89843,684.6558
586.5114,18.89672,684.6547
586.4893,18.89499,684.6535
586.4671,18.89322,684.6525
586.4449,18.89142,684.6514
586.4225,18.8896,684.6505
586.4001,18.88774,684.6494
586.3777,18.88587,684.6486
586.356,18.88404,684.6478
586.3342,18.88218,684.6469
586.3123,18.8803,684.6461
586.2903,18.87838,684.6454
586.2682,18.87645,684.6447
586.2461,18.87449,684.644
586.2239,18.8725,684.6434
586.2015,18.87049,684.6428
586.1791,18.86845,684.6422
586.1567,18.86639,684.6417
586.1349,18.86439,684.6412
586.1131,18.86236,684.6407
586.0913,18.86031,684.6403
586.0693,18.85823,684.64
586.0472,18.85613,684.6395
586.0251,18.85402,684.6392
586.003,18.85188,684.6389
585.9808,18.84972,684.6387
585.9584,18.84754,684.6384
585.936,18.84534,684.6381
585.9139,18.84315,684.638
585.8921,18.84098,684.6378
585.8702,18.83879,684.6376
585.8483,18.83659,684.6375
585.8263,18.83436,684.6375
585.8043,18.83212,684.6373
585.7822,18.82985,684.6373
585.7599,18.82758,684.6374
585.7377,18.82528,684.6373
585.7154,18.82296,684.6374
585.6931,18.82063,684.6375
585.671,18.81832,684.6375
585.6492,18.81602,684.6376
585.6273,18.8137,684.6378
585.6053,18.81138,684.6379
585.5834,18.80903,684.6381
585.5613,18.80667,684.6382
585.5392,18.80429,684.6384
585.5171,18.8019,684.6387
585.4949,18.79949,684.6389
585.4726,18.79707,684.6392
585.4503,18.79463,684.6395
585.4282,18.7922,684.6398
585.4064,18.7898,684.6401
585.3845,18.78738,684.6404
585.3626,18.78496,684.6407
585.3406,18.78251,684.6411
585.3187,18.78006,684.6416
585.2966,18.77759,684.642
585.2745,18.77511,684.6424
585.2523,18.77261,684.6429
585.2301,18.7701,684.6433
585.2079,18.76758,684.6438
585.1855,18.76505,684.6442
585.1638,18.76256,684.6448
585.1418,18.76006,684.6453
585.1199,18.75755,684.6459
585.098,18.75503,684.6464
585.076,18.7525,684.647
585.054,18.74995,684.6475
585.032,18.7474,684.6481
585.0098,18.74483,684.6487
584.9877,18.74226,684.6494
584.9655,18.73967,684.65
584.9432,18.73707,684.6506
584.9211,18.73447,684.6513
584.8993,18.73191,684.6519
584.8774,18.72933,684.6526
584.8555,18.72675,684.6533
584.8335,18.72416,684.654
584.8116,18.72156,684.6547
584.7896,18.71895,684.6555
584.7675,18.71633,684.6563
584.7454,18.7137,684.657
584.7233,18.71107,684.6578
584.7012,18.70842,684.6585
584.679,18.70576,684.6593
584.6568,18.70311,684.6601
584.6349,18.70048,684.6609
584.613,18.69785,684.6617
584.5912,18.69521,684.6625
584.5692,18.69256,684.6633
584.5473,18.68991,684.6642
584.5253,18.68724,684.665
584.5032,18.68457,684.6659
584.4811,18.6819,684.6667
584.4591,18.67921,684.6676
584.437,18.67652,684.6686
584.4149,18.67382,684.6694
584.3927,18.67111,684.6703
584.3707,18.66844,684.6712
584.3489,18.66576,684.6721
584.327,18.66308,684.673
584.3051,18.66039,684.674
584.2831,18.6577,684.6749
584.2611,18.65499,684.6758
584.2391,18.65229,684.6768
584.217,18.64958,684.6777
584.195,18.64686,684.6786
584.1729,18.64413,684.6796
584.1508,18.64141,684.6806
584.1287,18.63867,684.6816
584.1066,18.63594,684.6826
584.0847,18.63323,684.6835
584.0629,18.63052,684.6846
584.0408,18.6278,684.6855
584.019,18.62508,684.6866
583.9969,18.62235,684.6876
583.975,18.61962,684.6886
583.953,18.61688,684.6896
583.9309,18.61414,684.6906
583.9089,18.61139,684.6917
583.8868,18.60864,684.6927
583.8647,18.60589,684.6937
583.8426,18.60313,684.6948
583.8207,18.60039,684.6958
583.7987,18.59766,684.6969
583.7768,18.59492,684.6979
583.7549,18.59218,684.699
583.7329,18.58943,684.7
583.7109,18.58668,684.7011
583.689,18.58393,684.7021
583.6669,18.58118,684.7032
583.6449,18.57842,684.7043
583.6228,18.57566,684.7053
583.6008,18.5729,684.7064
583.5787,18.57013,684.7076
583.5566,18.56737,684.7086
583.5347,18.56462,684.7097
583.5128,18.56187,684.7108
583.4908,18.55912,684.7119
583.4689,18.55636,684.713
583.4469,18.55361,684.7141
583.4249,18.55085,684.7151
583.4029,18.54809,684.7162
583.3809,18.54533,684.7173
583.3589,18.54257,684.7184
583.3368,18.53981,684.7195
583.3148,18.53704,684.7206
583.2927,18.53428,684.7217
583.2707,18.53152,684.7229
583.2487,18.52876,684.7239
583.2268,18.52601,684.7251
583.2048,18.52326,684.7262
583.1829,18.52051,684.7273
583.1609,18.51775,684.7284
583.1389,18.515,684.7294
583.1169,18.51225,684.7305
583.0948,18.50949,684.7316
583.0729,18.50673,684.7327
583.0508,18.50398,684.7339
583.0288,18.50122,684.735
583.0068,18.49847,684.7361
582.9847,18.49572,684.7371
582.9628,18.49297,684.7383
582.9408,18.49023,684.7394
582.9188,18.48749,684.7405
582.8969,18.48475,684.7416
582.8749,18.482,684.7426
582.8528,18.47926,684.7438
582.8309,18.47652,684.7449
582.8088,18.47378,684.7459
582.7869,18.47104,684.747
582.7648,18.46831,684.748
582.7429,18.46557,684.7491
582.7208,18.46284,684.7503
582.6989,18.4601,684.7513
582.6768,18.45738,684.7524
582.6548,18.45465,684.7535
582.6329,18.45193,684.7545
582.6108,18.4492,684.7556
582.5889,18.44648,684.7567
582.5668,18.44376,684.7578
582.5448,18.44105,684.7588
582.5228,18.43833,684.7598
582.5008,18.43562,684.7609
582.4788,18.43291,684.762
