x,y,z
507.616,28.61088,527.5479
507.6621,28.61234,527.5541
507.7083,28.61379,527.5602
507.7545,28.61522,527.5664
507.8006,28.61664,527.5726
507.8468,28.61805,527.5788
507.893,28.61943,527.585
507.9392,28.62081,527.5912
507.9854,28.62217,527.5975
508.0317,28.62351,527.6038
508.0779,28.62484,527.61
508.124,28.62616,527.6163
508.1702,28.62745,527.6226
508.2163,28.62873,527.6288
508.2625,28.63,527.6351
508.3087,28.63125,527.6415
508.3548,28.63249,527.6478
508.401,28.63371,527.6541
508.4472,28.63492,527.6605
508.4934,28.63611,527.6669
508.5396,28.63729,527.6732
508.5858,28.63845,527.6796
508.6319,28.63959,527.686
508.6781,28.64072,527.6924
508.7242,28.64183,527.6988
508.7704,28.64293,527.7052
508.8165,28.64401,527.7116
508.8627,28.64508,527.7181
508.9089,28.64613,527.7245
508.955,28.64716,527.731
509.0012,28.64818,527.7374
509.0474,28.64918,527.7439
509.0935,28.65017,527.7504
509.1397,28.65114,527.7568
509.1859,28.6521,527.7634
509.232,28.65303,527.7699
509.2782,28.65396,527.7764
509.3243,28.65486,527.783
509.3705,28.65575,527.7894
509.4166,28.65662,527.796
509.4628,28.65748,527.8026
509.5089,28.65832,527.8091
509.5551,28.65915,527.8157
509.6012,28.65995,527.8223
509.6474,28.66074,527.8289
509.6935,28.66152,527.8354
509.7397,28.66228,527.842
509.7858,28.66302,527.8486
509.832,28.66374,527.8552
509.8781,28.66445,527.8619
509.9243,28.66514,527.8685
509.9704,28.66581,527.8751
510.0165,28.66647,527.8818
510.0627,28.66711,527.8884
510.1088,28.66773,527.8951
510.1549,28.66834,527.9018
510.2011,28.66893,527.9084
510.2473,28.6695,527.9152
510.2934,28.67005,527.9218
510.3396,28.67059,527.9285
510.3857,28.67111,527.9352
510.4318,28.67161,527.942
510.4779,28.67209,527.9487
510.524,28.67256,527.9554
510.5701,28.67301,527.9621
510.6162,28.67344,527.9688
510.6624,28.67385,527.9756
510.7086,28.67425,527.9823
510.7548,28.67462,527.9891
510.8009,28.67498,527.9958
510.847,28.67532,528.0026
510.8932,28.67564,528.0094
510.9393,28.67595,528.0162
510.9854,28.67624,528.0229
511.0314,28.6765,528.0297
511.0775,28.67675,528.0365
511.1236,28.67698,528.0433
511.1698,28.67719,528.0502
511.216,28.67739,528.0569
511.2621,28.67756,528.0638
511.3083,28.67772,528.0706
511.3544,28.67786,528.0774
511.4005,28.67797,528.0842
511.4466,28.67807,528.0911
511.4927,28.67815,528.0979
511.5388,28.67822,528.1047
511.5848,28.67826,528.1116
511.6309,28.67828,528.1185
511.6771,28.67828,528.1254
511.7233,28.67826,528.1322
511.7695,28.67823,528.1391
511.8156,28.67817,528.146
511.8617,28.67809,528.1528
511.9078,28.678,528.1597
511.9539,28.67788,528.1666
511.9999,28.67775,528.1735
512.046,28.67759,528.1804
512.092,28.67742,528.1873
512.1381,28.67722,528.1942
512.1843,28.677,528.2011
512.2305,28.67677,528.208
512.2767,28.67651,528.215
512.3228,28.67623,528.2219
512.369,28.67593,528.2288
512.415,28.67561,528.2357
512.4611,28.67527,528.2427
512.5071,28.67491,528.2496
512.5531,28.67453,528.2565
512.5991,28.67412,528.2634
512.6453,28.6737,528.2704
512.6915,28.67325,528.2773
512.7377,28.67278,528.2843
512.7839,28.67229,528.2913
512.83,28.67178,528.2982
512.8761,28.67124,528.3052
