UnityTime [s],X,Y,Z,RX,RY,RZ,X2,Y2,Z2,RX2,RY2,RZ2,tangent,ERROR y,X - X2,Y - Y2,Z - Z2,RX - RX2,RY - RY2,RZ - RZ2,
23.60904,538.3892,19.2028,642.2589,359.1353,203.078,2.028755,538.3904,19.20302,642.2584,359.1361,203.0831,2.029321,0.08974966,0.0002727509,-0.001220703,-0.0002250671,0.0005493164,-0.0008239746,-0.005020142,-0.0005664825,
23.61404,538.382,19.20308,642.2419,359.1009,202.8756,2.035256,538.3832,19.2033,642.2415,359.102,202.882,2.035964,0.09374745,0.0002593994,-0.001159668,-0.0002155304,0.0004882813,-0.001098633,-0.006317139,-0.0007076263,
23.61904,538.3748,19.20338,642.2249,359.0667,202.6764,2.04198,538.3759,19.20357,642.2244,359.0679,202.6839,2.042849,0.09778947,0.0002403259,-0.001159668,-0.0001964569,0.0004882813,-0.001190186,-0.007507324,-0.0008695126,
23.62404,538.3677,19.20368,642.2079,359.0326,202.4804,2.048917,538.3687,19.20385,642.2075,359.0339,202.4874,2.049962,0.101837,0.0002040863,-0.0009765625,-0.0001659393,0.0004272461,-0.001281738,-0.007080078,-0.001045227,
23.62904,538.3606,19.20401,642.1906,358.9986,202.2859,2.056094,538.3613,19.20413,642.1903,358.9996,202.2913,2.057386,0.1059539,0.0001506805,-0.0007324219,-0.0001220703,0.0003051758,-0.001068115,-0.005477905,-0.001292467,
23.63404,538.3535,19.20434,642.1732,358.9648,202.0945,2.063476,538.3539,19.20441,642.173,358.9652,202.0965,2.065094,0.1101264,9.155273E-05,-0.0004272461,-7.43866E-05,0.0001831055,-0.0003967285,-0.001998901,-0.001617908,
23.63904,538.3464,19.20468,642.1558,358.931,201.9058,2.071066,538.3466,19.20469,642.1558,358.9311,201.9058,2.072969,0.114297,1.335144E-05,-0.0001220703,-7.629395E-06,6.103516E-05,-0.0001220703,1.525879E-05,-0.001903057,
23.64404,538.3394,19.20504,642.1382,358.8974,201.719,2.078876,538.3398,19.2051,642.1381,358.8967,201.7159,2.079926,0.1185379,7.247925E-05,-0.0003662109,-5.912781E-05,0.0001220703,0.0007324219,0.003112793,-0.001050711,
23.64903,538.3326,19.2054,642.1212,358.865,201.5411,2.084933,538.3333,19.20551,642.1209,358.8645,201.538,2.085017,0.1225334,0.0001296997,-0.0006103516,-0.0001068115,0.0002441406,0.0004272461,0.003128052,-8.392334E-05,
23.65403,538.326,19.20576,642.1042,358.8332,201.3674,2.090129,538.3268,19.20591,642.1039,358.8334,201.3683,2.090099,0.1264319,0.0001811981,-0.000793457,-0.0001506805,0.0003051758,-0.000213623,-0.0009918213,3.004074E-05,
